title,url,difficulty,notes,solution,tags
Search Insert Position,https://leetcode.com/problems/search-insert-position/,Easy,,,NeetCode 250;Binary Search
Guess Number Higher or Lower,https://leetcode.com/problems/guess-number-higher-or-lower/,Easy,,,NeetCode 250;Binary Search
Sqrt(x),https://leetcode.com/problems/sqrtx/,Easy,,,NeetCode 250;Binary Search
Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,,,NeetCode 250;Binary Search
Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,Medium,,,NeetCode 250;Binary Search
Capacity To Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,Medium,,,NeetCode 250;Binary Search
Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Medium,,,NeetCode 250;Binary Search
Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,,,NeetCode 250;Binary Search
Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,Medium,,,NeetCode 250;Binary Search
Time Based Key-Value Store,https://leetcode.com/problems/time-based-key-value-store/,Medium,,,NeetCode 250;Binary Search
Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum/,Hard,,,NeetCode 250;Binary Search
Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,,,NeetCode 250;Binary Search
Find in Mountain Array,https://leetcode.com/problems/find-in-mountain-array/,Hard,,,NeetCode 250;Binary Search
Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,,,NeetCode 250;Linked List
Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,,,NeetCode 250;Linked List
Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,Easy,,,NeetCode 250;Linked List
Reorder List,https://leetcode.com/problems/reorder-list/,Medium,,,NeetCode 250;Linked List
Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,,,NeetCode 250;Linked List
Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium,,,NeetCode 250;Linked List
Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,,,NeetCode 250;Linked List
Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/,Medium,,,NeetCode 250;Linked List
Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/,Medium,,,NeetCode 250;Linked List
Design Circular Queue,https://leetcode.com/problems/design-circular-queue/,Medium,,,NeetCode 250;Linked List
LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,,,NeetCode 250;Linked List
LFU Cache,https://leetcode.com/problems/lfu-cache/,Hard,,,NeetCode 250;Linked List
Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,,,NeetCode 250;Linked List
Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,,,NeetCode 250;Linked List
Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal/,Easy,,,NeetCode 250;Trees
Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal/,Easy,,,NeetCode 250;Trees
Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal/,Easy,,,NeetCode 250;Trees
Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/,Easy,,,NeetCode 250;Trees
Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,,,NeetCode 250;Trees
Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/,Easy,,,NeetCode 250;Trees
Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/,Easy,,,NeetCode 250;Trees
Same Tree,https://leetcode.com/problems/same-tree/,Easy,,,NeetCode 250;Trees
Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/,Easy,,,NeetCode 250;Trees
Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Medium,,,NeetCode 250;Trees
Insert into a Binary Search Tree,https://leetcode.com/problems/insert-into-a-binary-search-tree/,Medium,,,NeetCode 250;Trees
Delete Node in a BST,https://leetcode.com/problems/delete-node-in-a-bst/,Medium,,,NeetCode 250;Trees
Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,,,NeetCode 250;Trees
Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,Medium,,,NeetCode 250;Trees
Construct Quad Tree,https://leetcode.com/problems/construct-quad-tree/,Medium,,,NeetCode 250;Trees
Count Good Nodes in Binary Tree,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,Medium,,,NeetCode 250;Trees
Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,,,NeetCode 250;Trees
Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium,,,NeetCode 250;Trees
Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,,,NeetCode 250;Trees
House Robber III,https://leetcode.com/problems/house-robber-iii/,Medium,,,NeetCode 250;Trees
Delete Leaves With a Given Value,https://leetcode.com/problems/delete-leaves-with-a-given-value/,Medium,,,NeetCode 250;Trees
Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,,,NeetCode 250;Trees
Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Hard,,,NeetCode 250;Trees
Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream/,Easy,,,NeetCode 250;Heap / Priority Queue
Last Stone Weight,https://leetcode.com/problems/last-stone-weight/,Easy,,,NeetCode 250;Heap / Priority Queue
K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin/,Medium,,,NeetCode 250;Heap / Priority Queue
Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium,,,NeetCode 250;Heap / Priority Queue
Task Scheduler,https://leetcode.com/problems/task-scheduler/,Medium,,,NeetCode 250;Heap / Priority Queue
Design Twitter,https://leetcode.com/problems/design-twitter/,Medium,,,NeetCode 250;Heap / Priority Queue
Single-Threaded CPU,https://leetcode.com/problems/single-threaded-cpu/,Medium,,,NeetCode 250;Heap / Priority Queue
Reorganize String,https://leetcode.com/problems/reorganize-string/,Medium,,,NeetCode 250;Heap / Priority Queue
Longest Happy String,https://leetcode.com/problems/longest-happy-string/,Medium,,,NeetCode 250;Heap / Priority Queue
Car Pooling,https://leetcode.com/problems/car-pooling/,Medium,,,NeetCode 250;Heap / Priority Queue
Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Hard,,,NeetCode 250;Heap / Priority Queue
IPO,https://leetcode.com/problems/ipo/,Hard,,,NeetCode 250;Heap / Priority Queue
Sum of All Subset XOR Totals,https://leetcode.com/problems/sum-of-all-subset-xor-totals/,Easy,,,NeetCode 250;Backtracking
Subsets,https://leetcode.com/problems/subsets/,Medium,,,NeetCode 250;Backtracking
Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,,,NeetCode 250;Backtracking
Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,Medium,,,NeetCode 250;Backtracking
Combinations,https://leetcode.com/problems/combinations/,Medium,,,NeetCode 250;Backtracking
Permutations,https://leetcode.com/problems/permutations/,Medium,,,NeetCode 250;Backtracking
Subsets II,https://leetcode.com/problems/subsets-ii/,Medium,,,NeetCode 250;Backtracking
Permutations II,https://leetcode.com/problems/permutations-ii/,Medium,,,NeetCode 250;Backtracking
Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,,,NeetCode 250;Backtracking
Word Search,https://leetcode.com/problems/word-search/,Medium,,,NeetCode 250;Backtracking
Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,,,NeetCode 250;Backtracking
Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,,,NeetCode 250;Backtracking
Matchsticks to Square,https://leetcode.com/problems/matchsticks-to-square/,Medium,,,NeetCode 250;Backtracking
Partition to K Equal Sum Subsets,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/,Medium,,,NeetCode 250;Backtracking
N-Queens,https://leetcode.com/problems/n-queens/,Hard,,,NeetCode 250;Backtracking
N-Queens II,https://leetcode.com/problems/n-queens-ii/,Hard,,,NeetCode 250;Backtracking
Word Break II,https://leetcode.com/problems/word-break-ii/,Hard,,,NeetCode 250;Backtracking
Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/,Medium,,,NeetCode 250;Tries
Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure/,Medium,,,NeetCode 250;Tries
Extra Characters in a String,https://leetcode.com/problems/extra-characters-in-a-string/,Medium,,,NeetCode 250;Tries
Word Search II,https://leetcode.com/problems/word-search-ii/,Hard,,,NeetCode 250;Tries
Island Perimeter,https://leetcode.com/problems/island-perimeter/,Easy,,,NeetCode 250;Graphs
Verifying an Alien Dictionary,https://leetcode.com/problems/verifying-an-alien-dictionary/,Easy,,,NeetCode 250;Graphs
Find the Town Judge,https://leetcode.com/problems/find-the-town-judge/,Easy,,,NeetCode 250;Graphs
Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,,,NeetCode 250;Graphs
Max Area of Island,https://leetcode.com/problems/max-area-of-island/,Medium,,,NeetCode 250;Graphs
Clone Graph,https://leetcode.com/problems/clone-graph/,Medium,,,NeetCode 250;Graphs
Rotting Oranges,https://leetcode.com/problems/rotting-oranges/,Medium,,,NeetCode 250;Graphs
Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/,Medium,,,NeetCode 250;Graphs
Surrounded Regions,https://leetcode.com/problems/surrounded-regions/,Medium,,,NeetCode 250;Graphs
Open the Lock,https://leetcode.com/problems/open-the-lock/,Medium,,,NeetCode 250;Graphs
Course Schedule,https://leetcode.com/problems/course-schedule/,Medium,,,NeetCode 250;Graphs
Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,Medium,,,NeetCode 250;Graphs
Course Schedule IV,https://leetcode.com/problems/course-schedule-iv/,Medium,,,NeetCode 250;Graphs
Redundant Connection,https://leetcode.com/problems/redundant-connection/,Medium,,,NeetCode 250;Graphs
Accounts Merge,https://leetcode.com/problems/accounts-merge/,Medium,,,NeetCode 250;Graphs
Evaluate Division,https://leetcode.com/problems/evaluate-division/,Medium,,,NeetCode 250;Graphs
Minimum Height Trees,https://leetcode.com/problems/minimum-height-trees/,Medium,,,NeetCode 250;Graphs
Word Ladder,https://leetcode.com/problems/word-ladder/,Hard,,,NeetCode 250;Graphs
Path With Minimum Effort,https://leetcode.com/problems/path-with-minimum-effort/,Medium,,,NeetCode 250;Advanced Graphs
Network Delay Time,https://leetcode.com/problems/network-delay-time/,Medium,,,NeetCode 250;Advanced Graphs
Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary/,Hard,,,NeetCode 250;Advanced Graphs
Min Cost to Connect All Points,https://leetcode.com/problems/min-cost-to-connect-all-points/,Medium,,,NeetCode 250;Advanced Graphs
Swim in Rising Water,https://leetcode.com/problems/swim-in-rising-water/,Hard,,,NeetCode 250;Advanced Graphs
Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/,Medium,,,NeetCode 250;Advanced Graphs
Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,https://leetcode.com/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree/,Hard,,,NeetCode 250;Advanced Graphs
Build a Matrix With Conditions,https://leetcode.com/problems/build-a-matrix-with-conditions/,Hard,,,NeetCode 250;Advanced Graphs
Greatest Common Divisor Traversal,https://leetcode.com/problems/greatest-common-divisor-traversal/,Hard,,,NeetCode 250;Advanced Graphs
Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,,,NeetCode 250;1-D Dynamic Programming
Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs/,Easy,,,NeetCode 250;1-D Dynamic Programming
N-th Tribonacci Number,https://leetcode.com/problems/n-th-tribonacci-number/,Easy,,,NeetCode 250;1-D Dynamic Programming
House Robber,https://leetcode.com/problems/house-robber/,Medium,,,NeetCode 250;1-D Dynamic Programming
House Robber II,https://leetcode.com/problems/house-robber-ii/,Medium,,,NeetCode 250;1-D Dynamic Programming
Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,,,NeetCode 250;1-D Dynamic Programming
Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings/,Medium,,,NeetCode 250;1-D Dynamic Programming
Decode Ways,https://leetcode.com/problems/decode-ways/,Medium,,,NeetCode 250;1-D Dynamic Programming
Coin Change,https://leetcode.com/problems/coin-change/,Medium,,,NeetCode 250;1-D Dynamic Programming
Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,Medium,,,NeetCode 250;1-D Dynamic Programming
Word Break,https://leetcode.com/problems/word-break/,Medium,,,NeetCode 250;1-D Dynamic Programming
Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,Medium,,,NeetCode 250;1-D Dynamic Programming
Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/,Medium,,,NeetCode 250;1-D Dynamic Programming
Combination Sum IV,https://leetcode.com/problems/combination-sum-iv/,Medium,,,NeetCode 250;1-D Dynamic Programming
Perfect Squares,https://leetcode.com/problems/perfect-squares/,Medium,,,NeetCode 250;1-D Dynamic Programming
Integer Break,https://leetcode.com/problems/integer-break/,Medium,,,NeetCode 250;1-D Dynamic Programming
Stone Game III,https://leetcode.com/problems/stone-game-iii/,Hard,,,NeetCode 250;1-D Dynamic Programming
Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,,,NeetCode 250;2-D Dynamic Programming
Unique Paths II,https://leetcode.com/problems/unique-paths-ii/,Medium,,,NeetCode 250;2-D Dynamic Programming
Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,,,NeetCode 250;2-D Dynamic Programming
Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,Medium,,,NeetCode 250;2-D Dynamic Programming
Last Stone Weight II,https://leetcode.com/problems/last-stone-weight-ii/,Medium,,,NeetCode 250;2-D Dynamic Programming
Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,Medium,,,NeetCode 250;2-D Dynamic Programming
Coin Change II,https://leetcode.com/problems/coin-change-ii/,Medium,,,NeetCode 250;2-D Dynamic Programming
Target Sum,https://leetcode.com/problems/target-sum/,Medium,,,NeetCode 250;2-D Dynamic Programming
Interleaving String,https://leetcode.com/problems/interleaving-string/,Medium,,,NeetCode 250;2-D Dynamic Programming
Stone Game,https://leetcode.com/problems/stone-game/,Medium,,,NeetCode 250;2-D Dynamic Programming
Stone Game II,https://leetcode.com/problems/stone-game-ii/,Medium,,,NeetCode 250;2-D Dynamic Programming
Longest Increasing Path in a Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,Hard,,,NeetCode 250;2-D Dynamic Programming
Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/,Hard,,,NeetCode 250;2-D Dynamic Programming
Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,,,NeetCode 250;2-D Dynamic Programming
Burst Balloons,https://leetcode.com/problems/burst-balloons/,Hard,,,NeetCode 250;2-D Dynamic Programming
Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,,,NeetCode 250;2-D Dynamic Programming
Lemonade Change,https://leetcode.com/problems/lemonade-change/,Easy,,,NeetCode 250;Greedy
Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,,,NeetCode 250;Greedy
Maximum Sum Circular Subarray,https://leetcode.com/problems/maximum-sum-circular-subarray/,Medium,,,NeetCode 250;Greedy
Longest Turbulent Subarray,https://leetcode.com/problems/longest-turbulent-subarray/,Medium,,,NeetCode 250;Greedy
Jump Game,https://leetcode.com/problems/jump-game/,Medium,,,NeetCode 250;Greedy
Jump Game II,https://leetcode.com/problems/jump-game-ii/,Medium,,,NeetCode 250;Greedy
Jump Game VII,https://leetcode.com/problems/jump-game-vii/,Medium,,,NeetCode 250;Greedy
Gas Station,https://leetcode.com/problems/gas-station/,Medium,,,NeetCode 250;Greedy
Hand of Straights,https://leetcode.com/problems/hand-of-straights/,Medium,,,NeetCode 250;Greedy
Dota2 Senate,https://leetcode.com/problems/dota2-senate/,Medium,,,NeetCode 250;Greedy
Merge Triplets to Form Target Triplet,https://leetcode.com/problems/merge-triplets-to-form-target-triplet/,Medium,,,NeetCode 250;Greedy
Partition Labels,https://leetcode.com/problems/partition-labels/,Medium,,,NeetCode 250;Greedy
Valid Parenthesis String,https://leetcode.com/problems/valid-parenthesis-string/,Medium,,,NeetCode 250;Greedy
Candy,https://leetcode.com/problems/candy/,Hard,,,NeetCode 250;Greedy
Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,,,NeetCode 250;Intervals
Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,,,NeetCode 250;Intervals
Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,Medium,,,NeetCode 250;Intervals
Meeting Rooms III,https://leetcode.com/problems/meeting-rooms-iii/,Hard,,,NeetCode 250;Intervals
Minimum Interval to Include Each Query,https://leetcode.com/problems/minimum-interval-to-include-each-query/,Hard,,,NeetCode 250;Intervals
Excel Sheet Column Title,https://leetcode.com/problems/excel-sheet-column-title/,Easy,,,NeetCode 250;Math & Geometry
Greatest Common Divisor of Strings,https://leetcode.com/problems/greatest-common-divisor-of-strings/,Easy,,,NeetCode 250;Math & Geometry
Insert Greatest Common Divisors in Linked List,https://leetcode.com/problems/insert-greatest-common-divisors-in-linked-list/,Medium,,,NeetCode 250;Math & Geometry
Transpose Matrix,https://leetcode.com/problems/transpose-matrix/,Easy,,,NeetCode 250;Math & Geometry
Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,,,NeetCode 250;Math & Geometry
Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,,,NeetCode 250;Math & Geometry
Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Medium,,,NeetCode 250;Math & Geometry
Happy Number,https://leetcode.com/problems/happy-number/,Easy,,,NeetCode 250;Math & Geometry
Plus One,https://leetcode.com/problems/plus-one/,Easy,,,NeetCode 250;Math & Geometry
Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,,,NeetCode 250;Math & Geometry
"Pow(x, n)",https://leetcode.com/problems/powx-n/,Medium,,,NeetCode 250;Math & Geometry
Multiply Strings,https://leetcode.com/problems/multiply-strings/,Medium,,,NeetCode 250;Math & Geometry
Detect Squares,https://leetcode.com/problems/detect-squares/,Medium,,,NeetCode 250;Math & Geometry
Single Number,https://leetcode.com/problems/single-number/,Easy,,,NeetCode 250;Bit Manipulation
Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits/,Easy,,,NeetCode 250;Bit Manipulation
Counting Bits,https://leetcode.com/problems/counting-bits/,Easy,,,NeetCode 250;Bit Manipulation
Add Binary,https://leetcode.com/problems/add-binary/,Easy,,,NeetCode 250;Bit Manipulation
Reverse Bits,https://leetcode.com/problems/reverse-bits/,Easy,,,NeetCode 250;Bit Manipulation
Missing Number,https://leetcode.com/problems/missing-number/,Easy,,,NeetCode 250;Bit Manipulation
Sum of Two Integers,https://leetcode.com/problems/sum-of-two-integers/,Medium,,,NeetCode 250;Bit Manipulation
Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,,,NeetCode 250;Bit Manipulation
Bitwise AND of Numbers Range,https://leetcode.com/problems/bitwise-and-of-numbers-range/,Medium,,,NeetCode 250;Bit Manipulation
Minimum Array End,https://leetcode.com/problems/minimum-array-end/,Medium,,,NeetCode 250;Bit Manipulation
